"NO (350,3000) 191C span (MG 2030)",NO2 (150) 191C (1of2) span (MG 2030),NO2 (2000) 191C (2of2) span (MG 2030),"N2O (100,200,300) 191C (1of2) span (MG 2030)",NH3 (300) 191C (1of2) span (MG 2030),NH3 (3000) 191C (2of2) span (MG 2030),HNCO (400) 191C (MG 2030),H2O% (25) 191C span (MG 2030),"Formaldehyde (70,500) 191C (MG 2030)",CO2 low% (4) 191C (2of2) span (MG 2030),CO2% (20) 191C (1of2) R4 span (MG 2030),CO (500) 191C (1of3) span (MG 2030),CO% (1) 191C (2of3) span (MG 2030),"Propylene (200,1000) 191C (1of2) (MG 2030)",Diesel C1 (4500) 191C (MG 2030),"Ethylene (100,3000) 191C (MG 2030)",CH4 (250) 191C (1of2) (MG 2030),CH4 (3000) 191C (2of2) (MG 2030),Ethane (1000) 191C (MG 2030),Acetylene (1000) 191C (MG 2030),HNO2 (20) 191C (MG 2030),N2O (1040) 191C (2of2) (MG 2030),CO% (10) 191C (3of3) (MG 2030),MeOH (1000) 191C (MG 2030),Formic Acid (100) 191C (MG 2030),SO2 (300) 191C (MG 2030),Propylene (10000) 191C (2of2) (MG 2030),H2SO4 (50) in high propylene 150C (MG 2030),NO2 autorange (MG 2030),CO autorange (MG 2030),CH4 autorange (MG 2030),NH3 autorange (MG 2030),NOx autorange (MG 2030),CO autorange dry (MG 2030),CO2% autorange dry (MG 2030),NO dry (MG 2030),NO2 autorange dry (MG 2030),NOx autorange dry (MG 2030),FIDeq THC ppmC (MG 2030),FIDeq NMHC ppmC (MG 2030),FIDeq NMNEHC ppmC (MG 2030),N2O autorange (MG 2030),CO2% autorange (MG 2030),FTIR NMHC ppmC (MG 2030),FTIR NMNEHC ppmC (MG 2030),Propylene autorange (MG 2030),Igram DC (MG 2030),Igram PP (MG 2030),phase Angle (MG 2030),laser PP (MG 2030),laser DC (MG 2030),Bad Scan counter (MG 2030),Centerburst Location (MG 2030),Linearizer Check (MG 2030),SNR 2500 (MG 2030),sBeam @ 2500 (MG 2030),Cell Temperature (MG 2030),Cell Pressure (MG 2030),Conversion Rate
514.153,5.866,7.863,4.622,630.385,603.557,-6.303,7.837,0.754,-0.014,0.026,1.269,0.001,-4.583,-2.722,1.509,0.884,1.38,-0.121,0.239,4.269,6.279,0.002,4.959,0.09,0.082,19.742,-0.347,5.866,1.269,0.884,603.557,524.289,1.377,-0.016,557.871,6.365,568.869,-12.566,-13.539,-13.298,4.622,-0.014,-8.368,-8.127,-4.583,3.342,6.514,89.947,7.75,-4.969,0,565.514,0.001,645.913,1.368,190.03,1.022,0.16532044
513.943,6.151,6.79,4.606,633.593,604.615,-2.891,7.86,1.308,-0.007,0.006,0.75,0.002,-4.753,-2.001,1.013,0.876,5.749,-0.739,0.086,2.965,4.454,-0.003,5.391,-0.359,-0.229,21.086,-0.339,6.151,0.75,0.876,604.615,523.059,0.814,-0.008,557.784,6.676,567.677,-14.63,-15.594,-14.116,4.606,-0.007,-9.9,-8.422,-4.753,3.343,6.514,89.427,7.781,-4.971,0,565.515,0.001,574.914,1.369,190.03,1.011,0.17122521
513.682,5.416,6.785,4.79,635.656,607.372,-1.782,7.852,0.915,-0.024,-0.002,0.597,0.001,-5.516,-4.896,0.867,0.475,3.4,-0.08,0.544,4.887,6.712,-0.001,4.946,-0.207,-0.516,22.972,-0.467,5.416,0.597,0.475,607.372,523.985,0.648,-0.026,557.45,5.878,568.631,-19.013,-19.535,-19.376,4.79,-0.024,-14.84,-14.681,-5.516,3.342,6.514,89.907,7.739,-4.969,0,565.508,0.001,640.451,1.368,190.03,1.023,0.29044623
513.682,5.463,6.67,4.71,630.762,609.46,-7.173,7.849,1.261,0.002,0.024,1.202,0.001,-3.915,-1.646,0.774,0.458,3.795,0.502,0.4,3.151,5.303,0.004,4.959,-0.193,0.153,35.029,-0.435,5.463,1.202,0.458,609.46,522.296,1.304,0.003,557.438,5.928,566.785,-9.439,-9.943,-10.947,4.71,0.002,-4.585,-5.59,-3.915,3.342,6.515,89.587,7.878,-4.974,0,565.507,0.001,529.283,1.371,190.132,1.023,0.28307202
513.665,5.821,7.43,4.823,630.987,606.903,-3.348,7.82,1.163,0.014,-0.002,1.703,0.001,-5.763,-4.758,0.665,0.788,1.56,-0.098,0.395,4.153,7.807,0.002,4.682,-0.382,-0.043,18.117,-0.367,5.821,1.703,0.788,606.903,523.639,1.848,0.016,557.24,6.315,568.06,-19.965,-20.832,-20.635,4.823,0.014,-16.326,-16.129,-5.763,3.345,6.514,89.727,7.748,-4.969,0,565.511,0.001,786.273,1.369,190.03,1.023,0.28502818
513.63,5.189,9.122,4.693,630.147,607.446,-5.143,7.837,1.241,-0.016,0.034,0.935,0.001,-3.97,-2.146,0.832,0.694,4.588,-0.255,0.608,3.021,6.222,-0.002,5.484,-0.55,-0.649,26.324,-0.547,5.189,0.935,0.694,607.446,521.84,1.015,-0.017,557.304,5.63,566.212,-10.918,-11.682,-11.172,4.693,-0.016,-6.262,-5.753,-3.97,3.341,6.512,89.987,7.833,-4.967,0,565.507,0.001,674.111,1.367,190.03,1.01,0.284446
513.273,5.16,10.037,4.674,627.335,602.996,-5.206,7.867,0.775,-0.004,-0.008,0.983,0.001,-5.64,-2.277,0.807,0.984,3.517,-0.363,0.28,5.699,3.372,-0.006,5.556,-0.451,-0.607,21.678,-0.576,5.16,0.983,0.984,602.996,524.132,1.066,-0.004,557.103,5.6,568.888,-16.585,-17.667,-16.942,4.674,-0.004,-12.663,-11.938,-5.64,3.34,6.517,89.427,7.819,-4.971,0,565.508,0.001,644.609,1.368,190.132,1.02,0.28444902
513.264,5.255,6.469,4.613,629.962,606.745,-4.002,7.867,0.558,-0.011,0.011,0.5,0.001,-3.817,-2.69,0.688,0.4,2.845,-0.224,-0.248,5.342,9.567,-0.003,6.284,-0.323,-0.161,15.264,-0.49,5.255,0.5,0.4,606.745,523.862,0.543,-0.011,557.092,5.704,568.594,-13.805,-14.245,-13.797,4.613,-0.011,-8.13,-7.683,-3.817,3.342,6.515,89.947,7.75,-4.969,0,565.514,0.001,567.274,1.369,190.03,1.022,0
513.239,5.336,5.892,4.807,632.774,603.836,-3.56,7.859,1.49,-0.004,0.024,1.195,0.001,-4.336,-2.23,1.132,0.604,1.396,0.043,0.296,3.71,6.959,0.005,4.606,-0.296,-0.444,29.925,-0.336,5.336,1.195,0.604,603.836,522.286,1.296,-0.004,557.018,5.791,566.836,-11.754,-12.419,-12.505,4.807,-0.004,-7.274,-7.36,-4.336,3.344,6.514,89.907,7.656,-4.96,0,565.517,0.001,762.984,1.37,190.132,1.012,0
513.166,5.526,7.316,4.755,627.571,604.415,-3.501,7.855,0.657,-0.013,0.062,0.928,0.001,-4.901,-1.383,1.101,0.761,4.186,-0.317,0.21,3.689,8.446,0.001,4.617,-0.33,0.312,28.465,-0.625,5.526,0.928,0.761,604.415,522.382,1.007,-0.015,556.911,5.998,566.913,-13.037,-13.874,-13.239,4.755,-0.013,-9.64,-9.005,-4.901,3.34,6.512,89.907,7.764,-4.971,0,565.507,0.001,605.429,1.368,190.03,1.01,0